region_id,region_name,avg_inflow,avg_inflow_pop_pct,total_inflow,n_decades
2305,Jaguaribe,16341.37305662036,3.575786583880949,65365.49222648144,4
2306,Centro-Sul Cearense,15771.681060016155,4.668185759396836,63086.72424006462,4
2307,Sul Cearense,30407.18771085143,4.161374401579265,121628.75084340572,4
2401,Oeste Potiguar,25160.1562743783,3.680474327745711,100640.6250975132,4
2402,Central Potiguar,16579.54260277748,4.909431461348547,66318.17041110992,4
2403,Agreste Potiguar,16579.507277578115,4.488073686419348,66318.02911031246,4
2404,Leste Potiguar,83010.68850234151,8.068675489331481,332042.75400936604,4
2501,Sertão Paraibano,24568.72703257203,3.0260641331257667,98274.90813028812,4
2502,Borborema,11778.193253785372,4.265359094536954,47112.77301514149,4
2503,Agreste Paraibano,42264.33190000057,3.8332031681905647,169057.3276000023,4
2504,Mata Paraibana,66813.59959638119,6.5648544766858326,267254.39838552475,4
2601,Sertão Pernambucano,38376.16264817119,4.400518559520265,153504.65059268475,4
2602,São Francisco Pernambucano,33595.71634733677,8.715430428489764,134382.86538934708,4
2603,Agreste Pernambucano,65708.34265309572,3.4320322558168304,262833.3706123829,4
2604,Mata Pernambucana,41921.14443689585,3.650496757016729,167684.5777475834,4
2605,Metropolitana de Recife,128559.90924292803,4.462757585220495,514239.6369717121,4
2701,Sertão Alagoano,13648.549724131823,3.6469909744453486,54594.19889652729,4
2702,Agreste Alagoano,21676.139323472977,4.061265182873063,86704.5572938919,4
2703,Leste Alagoano,52791.78960299492,3.367380219949264,211167.15841197968,4
2801,Sertão Sergipano,9047.247712492943,4.991223248880806,36188.99084997177,4
2802,Agreste Sergipano,16402.578784883022,4.388364602321814,65610.31513953209,4
2803,Leste Sergipano,52670.84419208765,5.344111147370955,210683.3767683506,4
2901,Extremo Oeste Baiano,25333.079524606466,5.30650308108177,101332.31809842587,4
2902,Vale São-Franciscano da Bahia,45732.304242014885,5.899186483960534,182929.21696805954,4
2903,Centro Norte Baiano,67671.16581892967,3.508454729384969,270684.6632757187,4
2904,Nordeste Baiano,37768.34198948741,2.794777539908689,151073.36795794964,4
2905,Metropolitana de Salvador,137926.30496910214,4.3949063405018824,551705.2198764086,4
2906,Centro Sul Baiano,59876.39418402314,2.6096583852479887,239505.57673609257,4
2907,Sul Baiano,69227.4651029706,3.8261915756796037,276909.8604118824,4
3101,Noroeste de Minas,18978.49909994006,6.018979377286176,75913.99639976025,4
3102,Norte de Minas,35210.31223061681,2.564126338050034,140841.24892246723,4
3103,Jequitinhonha,18185.11450150609,2.75704546034427,72740.45800602436,4
3104,Vale do Mucuri,15667.966012001038,4.070247364158521,62671.86404800415,4
3105,Triângulo Mineiro/Alto Paranaíba,106859.37448742986,6.277140675531357,427437.4979497194,4
3106,Central Mineira,18581.651936531067,5.143578897642228,74326.60774612427,4
3107,Metropolitana de Belo Horizonte,255546.93715921044,5.586227021254217,1022187.7486368418,4
3108,Vale do Rio Doce,59664.501027047634,4.018367351721107,238658.00410819054,4
3109,Oeste de Minas,38583.281164616346,4.895800553146729,154333.12465846539,4
3110,Sul/Sudoeste de Minas,99400.79878410697,4.889212482217505,397603.1951364279,4
3111,Campo das Vertentes,21345.981844872236,4.46795499842606,85383.92737948895,4
3112,Zona da Mata,69650.72086304426,3.6644342505833256,278602.88345217705,4
3201,Noroeste Espírito-santense,22188.939697653055,5.850936488045679,88755.75879061222,4
3202,Litoral Norte Espírito-santense,34250.44252473116,8.11155426017132,137001.77009892464,4
3203,Central Espírito-santense,120388.39699265361,8.76251949770988,481553.58797061443,4
3204,Sul Espírito-santense,20841.779450029135,4.413127914798903,83367.11780011654,4
3301,Noroeste Fluminense,11981.626907676458,4.321392518562954,47926.50763070583,4
3302,Norte Fluminense,26884.87681606412,3.8845612339604623,107539.50726425648,4
3303,Centro Fluminense,19278.539369285107,4.6231282256675446,77114.15747714043,4
3304,Baixadas,54540.56026250124,12.22453834256717,218162.24105000496,4
3305,Sul Fluminense,43468.329661250114,5.288481022105052,173873.31864500046,4
3306,Metropolitana do Rio de Janeiro,281738.3194190264,2.6660304476965995,1126953.2776761055,4
3501,São José do Rio Preto,86464.85067033768,6.655603823910868,345859.4026813507,4
3502,Ribeirão Preto,112598.46736490726,6.277462277685289,450393.86945962906,4
3503,Araçatuba,45472.8299125731,7.769560412658604,181891.3196502924,4
3504,Bauru,84366.96972808242,7.414870222764293,337467.8789123297,4
3505,Araraquara,52271.206492602825,8.702629893209354,209084.8259704113,4
3506,Piracicaba,82438.46322986484,8.203604221030702,329753.85291945934,4
3507,Campinas,263662.5906627774,10.078232478513156,1054650.3626511097,4
3508,Presidente Prudente,53885.124955415726,7.085677434483784,215540.4998216629,4
3509,Marília,29264.384912222624,7.760809353745832,117057.5396488905,4
3510,Assis,32817.85289940238,7.08015383919341,131271.41159760952,4
3511,Itapetininga,44621.20449915528,6.706288595745904,178484.81799662113,4
3512,Macro Metropolitana Paulista,182316.03308835626,10.116219744330378,729264.132353425,4
3513,Vale do Paraíba Paulista,117487.25042235851,7.16034492958933,469949.00168943405,4
3514,Litoral Sul Paulista,41339.41771441698,11.580294699029343,165357.67085766792,4
3515,Metropolitana de São Paulo,908519.6218850911,5.585568521573052,3634078.4875403643,4
4101,Noroeste Paranaense,48299.01664984226,7.0105246933672385,193196.06659936905,4
