region_id,region_name,avg_outflow,avg_outflow_pop_pct,total_outflow,n_decades
2203,Sudoeste Piauiense,31473.501847326756,7.1506778540732485,125894.00738930702,4
2204,Sudeste Piauiense,26929.71834102273,6.034876524596038,107718.87336409092,4
2301,Noroeste Cearense,63226.652419775724,6.026667564064136,252906.6096791029,4
2302,Norte Cearense,59653.56622195244,7.729288002472076,238614.26488780975,4
2303,Metropolitana de Fortaleza,98507.8633312881,4.01958440499183,394031.4533251524,4
2304,Sertões Cearenses,72501.00713044405,9.095722495354835,290004.0285217762,4
2305,Jaguaribe,31029.351488173008,7.069842542508976,124117.40595269203,4
2306,Centro-Sul Cearense,28688.374095588923,8.612597747987277,114753.49638235569,4
2307,Sul Cearense,50594.485141694546,7.120746642347338,202377.94056677818,4
2401,Oeste Potiguar,35250.48177173734,5.224989741283747,141001.92708694935,4
2402,Central Potiguar,27604.33343693614,8.355044642537496,110417.33374774456,4
2403,Agreste Potiguar,29903.791557371616,8.33613281353141,119615.16622948647,4
2404,Leste Potiguar,47916.38399133086,4.5868292021734645,191665.53596532345,4
2501,Sertão Paraibano,65491.18545883894,8.188379110961835,261964.74183535576,4
2502,Borborema,23024.02554142475,8.445873543977934,92096.102165699,4
2503,Agreste Paraibano,74052.83119165897,6.780392209486738,296211.3247666359,4
2504,Mata Paraibana,49822.69211950898,4.914370934198855,199290.76847803593,4
2601,Sertão Pernambucano,69183.14560505748,8.01562789717408,276732.5824202299,4
2602,São Francisco Pernambucano,27036.895625293255,6.823769327702479,108147.58250117302,4
2603,Agreste Pernambucano,120813.93179661036,6.558835286549879,483255.7271864414,4
2604,Mata Pernambucana,89033.13127711415,7.793346395596658,356132.5251084566,4
2605,Metropolitana de Recife,122975.4621219933,4.194701755899632,491901.8484879732,4
2701,Sertão Alagoano,27071.845736950636,7.189196326605987,108287.38294780254,4
2702,Agreste Alagoano,39118.10031551123,7.356201539033757,156472.4012620449,4
2703,Leste Alagoano,78692.39238908887,4.832204543491912,314769.5695563555,4
2801,Sertão Sergipano,11495.196780353785,6.4055771696498365,45980.78712141514,4
2802,Agreste Sergipano,24319.841591119766,6.794415951466187,97279.36636447906,4
2803,Leste Sergipano,38375.91289123893,3.8079243310993287,153503.6515649557,4
2901,Extremo Oeste Baiano,33964.847751021385,7.499545360451183,135859.39100408554,4
2902,Vale São-Franciscano da Bahia,61548.23376226425,7.7642407622133245,246192.935049057,4
2903,Centro Norte Baiano,120700.09866318107,6.204066536576255,482800.39465272427,4
2904,Nordeste Baiano,70000.16394120455,5.271278527569182,280000.6557648182,4
2905,Metropolitana de Salvador,120882.43406274915,3.7036097885514767,483529.7362509966,4
2906,Centro Sul Baiano,134611.94603827596,5.98372992456046,538447.7841531038,4
2907,Sul Baiano,119504.49539098144,6.4957898841955535,478017.98156392574,4
3101,Noroeste de Minas,28433.864024311304,9.076329644144128,113735.45609724522,4
3102,Norte de Minas,83799.30651554465,6.200980333432655,335197.2260621786,4
3103,Jequitinhonha,61146.54243314266,9.40715847134934,244586.16973257065,4
3104,Vale do Mucuri,47507.61608058214,12.330698160584094,190030.46432232857,4
3105,Triângulo Mineiro/Alto Paranaíba,82081.76199638844,4.989994341068359,328327.04798555374,4
3106,Central Mineira,29356.59075307846,8.393141462096622,117426.36301231384,4
3107,Metropolitana de Belo Horizonte,147929.93419265747,3.0848074481915333,591719.7367706299,4
3108,Vale do Rio Doce,118135.24568617344,8.049134286105557,472540.98274469376,4
3109,Oeste de Minas,31519.98753231764,4.227017486017595,126079.95012927055,4
3110,Sul/Sudoeste de Minas,84905.97176119685,4.299515616792975,339623.8870447874,4
3111,Campo das Vertentes,22384.83410921693,4.7438099352355945,89539.33643686771,4
3112,Zona da Mata,90654.31560051441,4.906636415028428,362617.26240205765,4
3201,Noroeste Espírito-santense,41866.439520299435,11.19383689361175,167465.75808119774,4
3202,Litoral Norte Espírito-santense,34502.486297786236,8.633161637848248,138009.94519114494,4
3203,Central Espírito-santense,56523.57346883416,3.9012848697270983,226094.29387533665,4
3204,Sul Espírito-santense,24375.6321066916,5.277419969868148,97502.5284267664,4
3301,Noroeste Fluminense,15977.762927472591,5.954374204200683,63911.051709890366,4
3302,Norte Fluminense,28371.61194449663,4.405303587421977,113486.44777798653,4
3303,Centro Fluminense,16597.500133365393,4.0118557444024345,66390.00053346157,4
3304,Baixadas,16032.876619637012,4.043398824316454,64131.50647854805,4
3305,Sul Fluminense,34409.72255152464,4.069363614039423,137638.89020609856,4
3306,Metropolitana do Rio de Janeiro,307192.28998562694,2.8512157703178915,1228769.1599425077,4
3501,São José do Rio Preto,68475.47422894835,5.566315931197314,273901.8969157934,4
3502,Ribeirão Preto,74118.47683423758,4.089855233611299,296473.9073369503,4
3503,Araçatuba,44507.91001370549,7.885765362713456,178031.64005482197,4
3504,Bauru,59237.36903619766,5.337466673411592,236949.47614479065,4
3505,Araraquara,28610.96309095621,4.626535108314627,114443.85236382484,4
3506,Piracicaba,42219.186220139265,4.08074169041863,168876.74488055706,4
3507,Campinas,110764.01365050673,3.976432003729726,443056.05460202694,4
3508,Presidente Prudente,65685.58198958635,8.85896988046991,262742.3279583454,4
3509,Marília,31716.630470573902,8.590205448231451,126866.52188229561,4
3510,Assis,40326.589129298925,9.11942172062152,161306.3565171957,4
3511,Itapetininga,37646.79570579529,5.696816898440911,150587.18282318115,4
3512,Macro Metropolitana Paulista,77927.26633232832,4.146044995389694,311709.0653293133,4
3513,Vale do Paraíba Paulista,58559.81408971548,3.436732138625162,234239.25635886192,4
3514,Litoral Sul Paulista,23123.633779734373,6.561308006573644,92494.53511893749,4
3515,Metropolitana de São Paulo,829928.2567678094,4.807403786660037,3319713.0270712376,4
4101,Noroeste Paranaense,114288.99567881227,16.237643731525353,457155.98271524906,4
4102,Centro Ocidental Paranaense,74256.68159711361,19.556446691937616,297026.72638845444,4
4103,Norte Central Paranaense,167264.5514511764,10.403618384013836,669058.2058047056,4
4104,Norte Pioneiro Paranaense,75532.38226535916,13.497011435287561,302129.52906143665,4
4105,Centro Oriental Paranaense,37157.22398984432,6.605699601457573,148628.8959593773,4
4106,Oeste Paranaense,137226.04681134224,13.182464459258487,548904.187245369,4
4107,Sudoeste Paranaense,62479.30250316858,12.598935993046425,249917.21001267433,4
4108,Centro-Sul Paranaense,55240.72759476304,10.70557366636267,220962.91037905216,4
4109,Sudeste Paranaense,25206.47579023242,7.240912333242392,100825.90316092968,4
4110,Metropolitana de Curitiba,106499.32427063584,4.277855314701384,425997.2970825434,4
4201,Oeste Catarinense,73671.7128161192,6.941183218411301,294686.8512644768,4
4202,Norte Catarinense,40344.757789462805,4.458812160842898,161379.03115785122,4
4203,Serrana,35256.097181499004,9.383185920201104,141024.38872599602,4
4204,Vale do Itajaí,41814.544344335794,4.043716930195641,167258.17737734318,4
4205,Grande Florianópolis,31971.60049983859,4.672354460567095,127886.40199935436,4
4206,Sul Catarinense,28518.931395828724,4.038658183129487,114075.7255833149,4
4301,Noroeste Rio-grandense,153881.5947085917,7.955126642166822,615526.3788343668,4
4302,Nordeste Rio-grandense,41141.72126099467,5.05468453985794,164566.8850439787,4
4303,Centro Ocidental Rio-grandense,34753.98126959801,7.19605007311821,139015.92507839203,4
4304,Centro Oriental Rio-grandense,37556.27196392417,5.698311268721044,150225.08785569668,4
4305,Metropolitana de Porto Alegre,111937.77310034633,2.890055238280693,447751.0924013853,4
4306,Sudoeste Rio-grandense,47435.60331887007,6.951908804908534,189742.41327548027,4
4307,Sudeste Rio-grandense,33898.11801883578,4.135648655395569,135592.47207534313,4
5001,Pantanais Sul Mato-grossense,22376.0315400064,10.760873866621225,89504.1261600256,4
5002,Centro Norte de Mato Grosso do Sul,46962.98783364892,6.987537079433803,187851.95133459568,4
5003,Leste de Mato Grosso do Sul,28787.875049948692,10.484840434259802,115151.50019979477,4
5004,Sudoeste de Mato Grosso do Sul,69017.73995175958,10.647262391982444,276070.9598070383,4
5101,Norte Mato-grossense,43689.4340672791,7.45019179673434,174757.7362691164,4
5102,Nordeste Mato-grossense,18512.43732148409,9.592175309913355,74049.74928593636,4
5103,Sudoeste Mato-grossense,27897.185427606106,11.553392504847636,111588.74171042442,4
5104,Centro-Sul Mato-grossense,57449.273922622204,7.4855081482431505,229797.09569048882,4
5105,Sudeste Mato-grossense,30435.116791278124,10.166999590729109,121740.4671651125,4
5201,Noroeste Goiano,29656.150214463472,14.11534715043625,118624.60085785389,4
5202,Norte Goiano,35311.03542017937,13.19392201614285,141244.14168071747,4
5203,Centro Goiano,117047.0713442266,5.4791975525213426,468188.2853769064,4
5204,Leste Goiano,37170.783351004124,5.872001371884554,148683.1334040165,4
5205,Sul Goiano,77823.5879316926,8.377048540419246,311294.3517267704,4
5301,Distrito Federal,156085.6945244968,8.751752850498253,624342.7780979872,4
