decade,dest_id,inflow,dest_pop,dest_name,inflow_pop_pct
1990,1201,1629.7753393650055,125535.0,Vale do Juruá,1.2982637028438329
1990,1202,16519.217826128006,289689.0,Vale do Acre,5.702397338569296
1990,1301,1486.7773163318634,74817.0,Norte Amazonense,1.9872185684160864
1990,1302,1664.3498183488846,229572.0,Sudoeste Amazonense,0.7249794479940431
1990,1303,60363.59481191635,1534090.0,Centro Amazonense,3.9348144380001404
1990,1304,3854.9410333633423,191269.0,Sul Amazonense,2.0154552140510704
1990,1401,27521.345639824867,151855.0,Norte de Roraima,18.123437252526994
1990,1402,7170.586418509483,32272.0,Sul de Roraima,22.219219194687295
1990,1501,23510.817246079445,536327.0,Baixo Amazonas,4.3836721339927776
1990,1502,3435.3275594711304,319101.0,Marajó,1.0765643352641108
1990,1503,112657.48778355122,1585997.0,Metropolitana de Belém,7.103259828584242
1990,1504,37631.728009700775,1200695.0,Nordeste Paraense,3.1341621319070017
1990,1505,43517.43870437145,288743.0,Sudoeste Paraense,15.071339808885913
1990,1506,130951.56990301609,789730.0,Sudeste Paraense,16.581815291684006
1990,1601,1405.7661467790604,24160.0,Norte do Amapá,5.818568488323925
1990,1602,22468.080314040184,278724.0,Sul do Amapá,8.06104975317525
1990,1701,62435.029789209366,643361.0,Ocidental do Tocantins,9.704509566046024
1990,1702,28256.80432200432,289184.0,Oriental do Tocantins,9.771219819216942
1990,2101,59948.59327363968,1754076.0,Norte Maranhense,3.417673651178152
1990,2102,85213.42247867584,987476.0,Oeste Maranhense,8.629417067217416
1990,2103,31903.844232797623,776740.0,Centro Maranhense,4.107403279449703
1990,2104,35784.81819975376,1032122.0,Leste Maranhense,3.4671112717056474
1990,2105,11458.869010925293,212118.0,Sul Maranhense,5.402120051539847
1990,2201,18558.85035777092,516681.0,Norte Piauiense,3.5919359058627895
1990,2202,56624.039877295494,1108235.0,Centro-Norte Piauiense,5.1093892430121315
1990,2203,13658.359009027481,420011.0,Sudoeste Piauiense,3.2519050713022946
1990,2204,13288.896567821503,427950.0,Sudeste Piauiense,3.1052451379416994
1990,2301,26216.515691161156,1016566.0,Noroeste Cearense,2.578929030792015
1990,2302,30016.691195607185,747365.0,Norte Cearense,4.016336220669577
1990,2303,177964.2816659212,2263443.0,Metropolitana de Fortaleza,7.862547528960138
1990,2304,23896.501423478127,774480.0,Sertões Cearenses,3.085489802638948
1990,2305,14899.321117281914,428799.0,Jaguaribe,3.4746632145321965
1990,2306,14703.814039349556,325117.0,Centro-Sul Cearense,4.522622329607358
1990,2307,29640.048601984978,683198.0,Sul Cearense,4.338427308333013
1990,2401,25892.89545094967,657047.0,Oeste Potiguar,3.9407980632967914
1990,2402,16719.434461712837,325117.0,Central Potiguar,5.142590040420168
1990,2403,16371.591913938522,352186.0,Agreste Potiguar,4.648564086573153
1990,2404,87657.6028316021,976876.0,Leste Potiguar,8.973257898812346
1990,2501,22283.410324573517,787388.0,Sertão Paraibano,2.8300419011432125
1990,2502,10623.406673192978,266224.0,Borborema,3.990401569051993
1990,2503,46371.88648366928,1081403.0,Agreste Paraibano,4.288122604030993
1990,2504,68147.83876860142,969874.0,Mata Paraibana,7.026463104341535
1990,2601,41171.330213427544,834054.0,Sertão Pernambucano,4.936290721395443
1990,2602,35886.10744678974,364413.0,São Francisco Pernambucano,9.84764743485818
1990,2603,64571.96373975277,1795897.0,Agreste Pernambucano,3.5955271232009838
1990,2604,39375.11253750324,1107354.0,Mata Pernambucana,3.5557836552270765
1990,2605,132592.2201783657,2826515.0,Metropolitana de Recife,4.691014205775158
1990,2701,15642.488029837608,357839.0,Sertão Alagoano,4.371375962328759
1990,2702,18570.329372286797,512565.0,Agreste Alagoano,3.6230193970104856
1990,2703,58690.56011044979,1518972.0,Leste Alagoano,3.863834231997021
1990,2801,7100.329113841057,165417.0,Sertão Sergipano,4.292381746640948
1990,2802,17188.389298558235,344772.0,Agreste Sergipano,4.9854365489535795
1990,2803,59027.516562104225,932466.0,Leste Sergipano,6.330259394133859
1990,2901,22909.073744773865,425383.0,Extremo Oeste Baiano,5.385516991693101
1990,2902,43749.05384707451,755277.0,Vale São-Franciscano da Bahia,5.792451490919823
