state,period,group,population,population_thousands,proxy
DF,1991,stayer,1230802.4391329107,1230.8024391329106,Five-year state of residence
ES,1991,immigrant,135415.48993660035,135.41548993660035,Five-year state of residence
ES,1991,emigrant,90909.34460540007,90.90934460540007,Five-year state of residence
ES,1991,stayer,1982979.3015061643,1982.9793015061643,Five-year state of residence
GO,1991,immigrant,268060.84190279973,268.0608419027997,Five-year state of residence
GO,1991,emigrant,156664.7403594001,156.6647403594001,Five-year state of residence
GO,1991,stayer,2970949.1166634276,2970.9491166634275,Five-year state of residence
MA,1991,immigrant,103448.15711290005,103.44815711290005,Five-year state of residence
MA,1991,emigrant,237920.98637260063,237.92098637260062,Five-year state of residence
MA,1991,stayer,3770961.653310773,3770.961653310773,Five-year state of residence
MG,1991,immigrant,371885.78457089985,371.88578457089983,Five-year state of residence
MG,1991,emigrant,479374.75732349965,479.37475732349964,Five-year state of residence
MG,1991,stayer,12701414.45184054,12701.414451840541,Five-year state of residence
MS,1991,immigrant,124046.03718419895,124.04603718419895,Five-year state of residence
MS,1991,emigrant,105023.05509350005,105.02305509350005,Five-year state of residence
MS,1991,stayer,1307854.8259585104,1307.8548259585104,Five-year state of residence
MT,1991,immigrant,226897.38421479953,226.89738421479953,Five-year state of residence
MT,1991,emigrant,118323.67963950003,118.32367963950003,Five-year state of residence
MT,1991,stayer,1379393.161086223,1379.393161086223,Five-year state of residence
PA,1991,immigrant,212429.2962065,212.4292962065,Five-year state of residence
PA,1991,emigrant,183195.3416501,183.19534165009998,Five-year state of residence
PA,1991,stayer,3692943.0237660464,3692.9430237660463,Five-year state of residence
PB,1991,immigrant,88897.41094249954,88.89741094249953,Five-year state of residence
PB,1991,emigrant,174057.83232230006,174.05783232230007,Five-year state of residence
PB,1991,stayer,2564502.050538463,2564.502050538463,Five-year state of residence
PE,1991,immigrant,171671.17706659995,171.67117706659994,Five-year state of residence
PE,1991,emigrant,317231.50874149986,317.23150874149985,Five-year state of residence
PE,1991,stayer,5689588.974733546,5689.588974733547,Five-year state of residence
PI,1991,immigrant,72949.67564409957,72.94967564409957,Five-year state of residence
PI,1991,emigrant,139447.34375030012,139.44734375030012,Five-year state of residence
PI,1991,stayer,2060367.9020930717,2060.3679020930717,Five-year state of residence
PR,1991,immigrant,269069.49937130034,269.0694993713003,Five-year state of residence
PR,1991,emigrant,475171.11631050124,475.17111631050125,Five-year state of residence
PR,1991,stayer,6484376.124071532,6484.376124071532,Five-year state of residence
RJ,1991,immigrant,253397.07776840084,253.39707776840083,Five-year state of residence
RJ,1991,emigrant,295066.384371,295.06638437099997,Five-year state of residence
RJ,1991,stayer,10967932.110021893,10967.932110021893,Five-year state of residence
RN,1991,immigrant,75570.01876739986,75.57001876739986,Five-year state of residence
RN,1991,emigrant,76443.72027579999,76.44372027579999,Five-year state of residence
RN,1991,stayer,1873113.474572625,1873.113474572625,Five-year state of residence
RO,1991,immigrant,127061.32328429974,127.06132328429973,Five-year state of residence
RO,1991,emigrant,94453.75795760009,94.45375795760009,Five-year state of residence
RO,1991,stayer,761912.5487885214,761.9125487885215,Five-year state of residence
RR,1991,immigrant,35346.929701400164,35.346929701400164,Five-year state of residence
RR,1991,emigrant,6693.609453800002,6.6936094538000015,Five-year state of residence
RR,1991,stayer,148852.42151230088,148.85242151230088,Five-year state of residence
RS,1991,immigrant,114295.32936400046,114.29532936400045,Five-year state of residence
RS,1991,emigrant,138854.48697569993,138.85448697569993,Five-year state of residence
RS,1991,stayer,7411916.608039305,7411.916608039304,Five-year state of residence
SC,1991,immigrant,170292.9369818004,170.29293698180038,Five-year state of residence
SC,1991,emigrant,125002.08704189997,125.00208704189997,Five-year state of residence
SC,1991,stayer,3542838.2622634806,3542.8382622634804,Five-year state of residence
SE,1991,immigrant,55977.83282409993,55.977832824099934,Five-year state of residence
SE,1991,emigrant,42212.70798719999,42.21270798719999,Five-year state of residence
SE,1991,stayer,1150003.1128464015,1150.0031128464016,Five-year state of residence
SP,1991,immigrant,1392758.6151738996,1392.7586151738997,Five-year state of residence
SP,1991,emigrant,647993.0041598998,647.9930041598998,Five-year state of residence
SP,1991,stayer,25171830.99743555,25171.83099743555,Five-year state of residence
TO,1991,immigrant,82325.98312969982,82.32598312969982,Five-year state of residence
TO,1991,emigrant,71804.66204049985,71.80466204049985,Five-year state of residence
TO,1991,stayer,649940.8776731077,649.9408776731077,Five-year state of residence
AC,2000,immigrant,13634.149201760023,13.634149201760023,Five-year state of residence
AC,2000,emigrant,16070.032605730006,16.070032605730006,Five-year state of residence
AC,2000,stayer,439039.84163394803,439.039841633948,Five-year state of residence
AL,2000,immigrant,55965.709166549925,55.96570916654993,Five-year state of residence
AL,2000,emigrant,127948.44265758008,127.94844265758007,Five-year state of residence
AL,2000,stayer,2287187.383870432,2287.1873838704323,Five-year state of residence
AM,2000,immigrant,89601.0152079997,89.60101520799971,Five-year state of residence
AM,2000,emigrant,58657.414640669966,58.65741464066996,Five-year state of residence
AM,2000,stayer,2238389.1138353297,2238.3891138353297,Five-year state of residence
AP,2000,immigrant,44582.001979539586,44.582001979539584,Five-year state of residence
AP,2000,emigrant,15112.858716890005,15.112858716890004,Five-year state of residence
AP,2000,stayer,350537.4808387975,350.53748083879753,Five-year state of residence
BA,2000,immigrant,250566.36624736962,250.56636624736961,Five-year state of residence
BA,2000,emigrant,517999.13088801014,517.9991308880101,Five-year state of residence
BA,2000,stayer,10859957.243786914,10859.957243786914,Five-year state of residence
CE,2000,immigrant,162907.13934078097,162.90713934078096,Five-year state of residence
CE,2000,emigrant,186689.71373122,186.68971373122,Five-year state of residence
CE,2000,stayer,6115706.034936506,6115.7060349365065,Five-year state of residence
DF,2000,immigrant,216200.26196652706,216.20026196652705,Five-year state of residence
DF,2000,emigrant,188555.67087435,188.55567087435,Five-year state of residence
DF,2000,stayer,1632511.2859783855,1632.5112859783856,Five-year state of residence
ES,2000,immigrant,129168.55575477125,129.16855575477126,Five-year state of residence
ES,2000,emigrant,95163.45217692002,95.16345217692002,Five-year state of residence
