state,period,group,dimension,category,weighted_population,valid_dimension_population,percent
MG,1970,stayer,age,25-34,1349821.0,9389024.0,14.376584829264468
MG,1970,stayer,age,35-44,1073089.0,9389024.0,11.429185823787435
MG,1970,stayer,age,45-54,732990.0,9389024.0,7.806881737654521
MG,1970,stayer,age,55-64,466606.0,9389024.0,4.969696530757616
MG,1970,stayer,age,65+,312776.0,9389024.0,3.331294072738551
MS,1970,immigrant,age,5-14,0.0,0.0,nan
MS,1970,immigrant,age,15-24,0.0,0.0,nan
MS,1970,immigrant,age,25-34,0.0,0.0,nan
MS,1970,immigrant,age,35-44,0.0,0.0,nan
MS,1970,immigrant,age,45-54,0.0,0.0,nan
MS,1970,immigrant,age,55-64,0.0,0.0,nan
MS,1970,immigrant,age,65+,0.0,0.0,nan
MS,1970,emigrant,age,5-14,0.0,0.0,nan
MS,1970,emigrant,age,15-24,0.0,0.0,nan
MS,1970,emigrant,age,25-34,0.0,0.0,nan
MS,1970,emigrant,age,35-44,0.0,0.0,nan
MS,1970,emigrant,age,45-54,0.0,0.0,nan
MS,1970,emigrant,age,55-64,0.0,0.0,nan
MS,1970,emigrant,age,65+,0.0,0.0,nan
MS,1970,stayer,age,5-14,0.0,0.0,nan
MS,1970,stayer,age,15-24,0.0,0.0,nan
MS,1970,stayer,age,25-34,0.0,0.0,nan
MS,1970,stayer,age,35-44,0.0,0.0,nan
MS,1970,stayer,age,45-54,0.0,0.0,nan
MS,1970,stayer,age,55-64,0.0,0.0,nan
MS,1970,stayer,age,65+,0.0,0.0,nan
MT,1970,immigrant,age,5-14,101925.0,407901.0,24.98768083432009
MT,1970,immigrant,age,15-24,101018.0,407901.0,24.765322958266836
MT,1970,immigrant,age,25-34,74533.0,407901.0,18.272325882996117
MT,1970,immigrant,age,35-44,58366.0,407901.0,14.308864160666436
MT,1970,immigrant,age,45-54,36491.0,407901.0,8.946043280109635
MT,1970,immigrant,age,55-64,22681.0,407901.0,5.56041784648726
MT,1970,immigrant,age,65+,12887.0,407901.0,3.159345037153623
MT,1970,emigrant,age,5-14,26978.0,115232.0,23.411899472368788
MT,1970,emigrant,age,15-24,26758.0,115232.0,23.22098028325465
MT,1970,emigrant,age,25-34,24247.0,115232.0,21.041898083865593
MT,1970,emigrant,age,35-44,17207.0,115232.0,14.932484032213274
MT,1970,emigrant,age,45-54,10666.0,115232.0,9.256109414051652
MT,1970,emigrant,age,55-64,5700.0,115232.0,4.946542627048042
MT,1970,emigrant,age,65+,3676.0,115232.0,3.1900860871980004
MT,1970,stayer,age,5-14,358905.0,905615.0,39.63107943220905
MT,1970,stayer,age,15-24,220818.0,905615.0,24.383209200377642
MT,1970,stayer,age,25-34,131760.0,905615.0,14.549228976993534
MT,1970,stayer,age,35-44,89634.0,905615.0,9.89758341016878
MT,1970,stayer,age,45-54,55356.0,905615.0,6.112531263285171
MT,1970,stayer,age,55-64,31978.0,905615.0,3.5310810885420403
MT,1970,stayer,age,65+,17164.0,905615.0,1.8952866284237784
PA,1970,immigrant,age,5-14,25070.0,145720.0,17.204227285204503
PA,1970,immigrant,age,15-24,33128.0,145720.0,22.73401043096349
PA,1970,immigrant,age,25-34,29079.0,145720.0,19.95539390612133
PA,1970,immigrant,age,35-44,23182.0,145720.0,15.90859181992863
PA,1970,immigrant,age,45-54,15227.0,145720.0,10.449492176777381
PA,1970,immigrant,age,55-64,10770.0,145720.0,7.390886631896788
PA,1970,immigrant,age,65+,9264.0,145720.0,6.357397749107878
PA,1970,emigrant,age,5-14,18621.0,118011.0,15.779037547347281
PA,1970,emigrant,age,15-24,23758.0,118011.0,20.1320215912076
PA,1970,emigrant,age,25-34,23416.0,118011.0,19.84221809831287
PA,1970,emigrant,age,35-44,20782.0,118011.0,17.61022277584293
PA,1970,emigrant,age,45-54,14568.0,118011.0,12.34461194295447
PA,1970,emigrant,age,55-64,10235.0,118011.0,8.672920320987027
PA,1970,emigrant,age,65+,6631.0,118011.0,5.618967723347824
PA,1970,stayer,age,5-14,593277.0,1632107.0,36.35037408699307
PA,1970,stayer,age,15-24,403667.0,1632107.0,24.73287596952896
PA,1970,stayer,age,25-34,236787.0,1632107.0,14.508056150730313
PA,1970,stayer,age,35-44,173181.0,1632107.0,10.610885193188928
